target,year,baseline_forecast,lower_95_percent,upper_95_percent,naive_baseline,model_selected,event_adjustment_pp,contributing_event_count,contributing_events,base_scenario,forecast_horizon,scenario_margin_pp,optimistic_scenario,pessimistic_scenario,target_rate,base_gap_to_target_pp,optimistic_gap_to_target_pp,pessimistic_gap_to_target_pp
Account Ownership Rate,2025,54.82,47.03,62.6,49.0,Linear trend,0.0,0,,54.82,1,3.0,57.82,51.82,60.0,5.18,2.18,8.18
Account Ownership Rate,2026,57.66,49.55,65.77,49.0,Linear trend,0.0,0,,57.66,2,4.0,61.66,53.66,60.0,2.34,-1.66,6.34
Account Ownership Rate,2027,60.51,52.04,68.97,49.0,Linear trend,0.0,0,,60.51,3,5.0,65.51,55.51,60.0,-0.51,-5.51,4.49
